YM,GRADE_CD,GRADE_NM,AGING,EFF_CNT,MAU,DAU
202602,SV,Silver,안정화(6~11M),2072,1278,458
202602,SV,Silver,온보딩(3~5M),1095,635,229
202602,SV,Silver,장기 유지(13M~),11583,8952,4130
202602,SV,Silver,하락가망(12M),209,138,51
202603,BK,Black,신규 유입(0~2M),6190,4214,1448
202603,BK,Black,안정화(6~11M),5298,2806,845
202603,BK,Black,온보딩(3~5M),5315,2900,827
202603,BK,Black,장기 유지(13M~),20041,15418,6262
202603,BK,Black,하락가망(12M),365,271,99
202603,GD,Gold,신규 유입(0~2M),187,114,40
202603,GD,Gold,안정화(6~11M),775,351,128
202603,GD,Gold,온보딩(3~5M),364,186,68
202603,GD,Gold,장기 유지(13M~),5257,3670,1748
202603,GD,Gold,하락가망(12M),93,49,18
202603,PT,Platinum,신규 유입(0~2M),34,22,3
202603,PT,Platinum,안정화(6~11M),165,68,26
202603,PT,Platinum,온보딩(3~5M),54,18,4
202603,PT,Platinum,장기 유지(13M~),1485,859,344
202603,PT,Platinum,하락가망(12M),38,15,6
202603,SP,S-Platinum,안정화(6~11M),14,9,6
202603,SP,S-Platinum,온보딩(3~5M),3,3,2
202603,SP,S-Platinum,장기 유지(13M~),147,108,61
202603,SP,S-Platinum,하락가망(12M),5,3,2
202603,SV,Silver,신규 유입(0~2M),813,519,173
202603,SV,Silver,안정화(6~11M),1936,1163,410
202603,SV,Silver,온보딩(3~5M),1363,755,260
202603,SV,Silver,장기 유지(13M~),11516,8718,3985
202603,SV,Silver,하락가망(12M),210,135,57
202604,BK,Black,신규 유입(0~2M),5877,4199,1478
202604,BK,Black,안정화(6~11M),4998,2826,919
202604,BK,Black,온보딩(3~5M),5901,3360,963
202604,BK,Black,장기 유지(13M~),20065,15892,6702
202604,BK,Black,하락가망(12M),413,293,98
202604,GD,Gold,신규 유입(0~2M),184,124,44
202604,GD,Gold,안정화(6~11M),806,389,143
202604,GD,Gold,온보딩(3~5M),379,187,66
202604,GD,Gold,장기 유지(13M~),5243,3770,1849
202604,GD,Gold,하락가망(12M),105,51,18
202604,PT,Platinum,신규 유입(0~2M),35,23,3
202604,PT,Platinum,안정화(6~11M),157,56,23
202604,PT,Platinum,온보딩(3~5M),44,19,4
202604,PT,Platinum,장기 유지(13M~),1525,891,362
202604,PT,Platinum,하락가망(12M),28,11,3
202604,SP,S-Platinum,신규 유입(0~2M),2,2,2
202604,SP,S-Platinum,안정화(6~11M),15,12,7
202604,SP,S-Platinum,장기 유지(13M~),152,111,63
202604,SP,S-Platinum,하락가망(12M),2,2,1
202604,SV,Silver,신규 유입(0~2M),732,476,168
202604,SV,Silver,안정화(6~11M),1938,1201,453
202604,SV,Silver,온보딩(3~5M),1531,896,318
202604,SV,Silver,장기 유지(13M~),11646,8997,4204
202604,SV,Silver,하락가망(12M),222,144,60
202605,BK,Black,신규 유입(0~2M),6030,4161,1455
202605,BK,Black,안정화(6~11M),5357,2970,953
202605,BK,Black,온보딩(3~5M),5522,3139,940
202605,BK,Black,장기 유지(13M~),20129,15986,6751
202605,BK,Black,하락가망(12M),403,280,102
202605,GD,Gold,신규 유입(0~2M),186,115,39
202605,GD,Gold,안정화(6~11M),858,433,159
202605,GD,Gold,온보딩(3~5M),376,193,68
202605,GD,Gold,장기 유지(13M~),5335,3795,1862
202605,GD,Gold,하락가망(12M),110,44,18
202605,PT,Platinum,신규 유입(0~2M),29,12,2
202605,PT,Platinum,안정화(6~11M),134,45,18
202605,PT,Platinum,온보딩(3~5M),43,16,3
202605,PT,Platinum,장기 유지(13M~),1553,890,349
202605,PT,Platinum,하락가망(12M),36,14,6
202605,SP,S-Platinum,신규 유입(0~2M),2,2,1
202605,SP,S-Platinum,안정화(6~11M),11,8,6
202605,SP,S-Platinum,장기 유지(13M~),154,110,58
202605,SP,S-Platinum,하락가망(12M),4,3,1
202605,SV,Silver,신규 유입(0~2M),658,415,142
202605,SV,Silver,안정화(6~11M),2101,1264,494
202605,SV,Silver,온보딩(3~5M),1430,856,292
202605,SV,Silver,장기 유지(13M~),11719,9053,4270
202605,SV,Silver,하락가망(12M),212,147,63
202505,BK,Black,신규 유입(0~2M),6084,4270,1510
202505,BK,Black,안정화(6~11M),6545,3655,1222
202505,BK,Black,온보딩(3~5M),5907,3593,1131
202505,BK,Black,장기 유지(13M~),18746,15211,6765
202505,BK,Black,하락가망(12M),556,401,158
202505,GD,Gold,신규 유입(0~2M),186,123,31
202505,GD,Gold,안정화(6~11M),836,455,182
202505,GD,Gold,온보딩(3~5M),348,191,74
202505,GD,Gold,장기 유지(13M~),4936,3711,1908
202505,GD,Gold,하락가망(12M),167,105,40
202505,PT,Platinum,신규 유입(0~2M),45,20,2
202505,PT,Platinum,안정화(6~11M),177,95,37
202505,PT,Platinum,온보딩(3~5M),45,21,6
202505,PT,Platinum,장기 유지(13M~),1530,954,418
202505,PT,Platinum,하락가망(12M),40,20,10
202505,SP,S-Platinum,신규 유입(0~2M),2,2,1
202505,SP,S-Platinum,안정화(6~11M),6,4,1
202505,SP,S-Platinum,온보딩(3~5M),1,0,0
202505,SP,S-Platinum,장기 유지(13M~),94,71,44
202505,SP,S-Platinum,하락가망(12M),3,2,1
202505,SV,Silver,신규 유입(0~2M),713,451,152
202505,SV,Silver,안정화(6~11M),2394,1461,587
202505,SV,Silver,온보딩(3~5M),1356,866,321
202505,SV,Silver,장기 유지(13M~),11598,9306,4619
202505,SV,Silver,하락가망(12M),310,186,85
