CURR_STD_YM,GRAD_STATUS,GRAD_MOVEMENT,CURR_GRAD_GB,CURR_NLINE_MEM_GRAD_CD,CURR_NLINE_MEM_GRAD_NM,PREV_GRAD_GB,PREV_NLINE_MEM_GRAD_CD,PREV_NLINE_MEM_GRAD_NM,CUST_CNT,MAU,DAU
202501,이탈,승급,VIP,PT,Platinum,VIP,SP,S-Platinum,34,26,15
202501,이탈,승급,VIP,SV,Silver,VIP,GD,Gold,779,584,306
202501,이탈,승급,VIP,SV,Silver,VIP,PT,Platinum,1,1,1
202501,이탈,승급,VIP,SV,Silver,VIP,SP,S-Platinum,1,1,1
202501,이탈,승급,일반,PP,Purple,VIP,BK,Black,4261,3577,1453
202501,이탈,승급,일반,PP,Purple,VIP,GD,Gold,17,13,4
202501,이탈,승급,일반,PP,Purple,VIP,SV,Silver,208,152,50
202501,이탈,승급,일반,RD,Red,VIP,BK,Black,948,500,114
202501,이탈,승급,일반,RD,Red,VIP,GD,Gold,9,5,4
202501,이탈,승급,일반,RD,Red,VIP,SV,Silver,118,60,12
202501,이탈,승급,일반,RD,Red,일반,PP,Purple,14002,9653,2671
202501,이탈,하락,VIP,BK,Black,일반,PP,Purple,4486,3484,1327
202501,이탈,하락,VIP,BK,Black,일반,RD,Red,1283,550,124
202501,이탈,하락,VIP,GD,Gold,VIP,BK,Black,48,32,12
202501,이탈,하락,VIP,GD,Gold,VIP,SV,Silver,813,588,272
202501,이탈,하락,VIP,GD,Gold,일반,PP,Purple,10,7,2
202501,이탈,하락,VIP,GD,Gold,일반,RD,Red,12,2,1
202501,이탈,하락,VIP,PT,Platinum,VIP,BK,Black,47,31,7
202501,이탈,하락,VIP,PT,Platinum,VIP,GD,Gold,554,338,133
202501,이탈,하락,VIP,PT,Platinum,VIP,SV,Silver,118,67,23
202501,이탈,하락,VIP,PT,Platinum,일반,PP,Purple,46,21,4
202501,이탈,하락,VIP,PT,Platinum,일반,RD,Red,59,12,2
202501,이탈,하락,VIP,SP,S-Platinum,VIP,BK,Black,7,5,2
202501,이탈,하락,VIP,SP,S-Platinum,VIP,GD,Gold,7,3,1
202501,이탈,하락,VIP,SP,S-Platinum,VIP,PT,Platinum,38,32,18
202501,이탈,하락,VIP,SP,S-Platinum,VIP,SV,Silver,7,4,1
202501,이탈,하락,VIP,SP,S-Platinum,일반,PP,Purple,3,1,1
202501,이탈,하락,VIP,SV,Silver,VIP,BK,Black,1998,1539,676
202501,이탈,하락,VIP,SV,Silver,일반,PP,Purple,257,163,46
202501,이탈,하락,VIP,SV,Silver,일반,RD,Red,159,61,16
202501,이탈,하락,일반,PP,Purple,일반,RD,Red,15775,8914,2364
202502,이탈,승급,VIP,BK,Black,VIP,GD,Gold,25,21,8
202502,이탈,승급,VIP,BK,Black,VIP,SV,Silver,1588,1296,653
202502,이탈,승급,VIP,SV,Silver,VIP,GD,Gold,666,515,271
202502,이탈,승급,일반,PP,Purple,VIP,BK,Black,3585,3043,1268
202502,이탈,승급,일반,PP,Purple,VIP,GD,Gold,7,4,1
202502,이탈,승급,일반,PP,Purple,VIP,SV,Silver,147,102,36
